period,first_singular_ratio,first_plural_ratio,second_ratio,third_singular_ratio,third_plural_ratio,pronoun_density,total_pronouns,total_words
2009-09,0.4323308270676692,0.07142857142857142,0.05263157894736842,0.3609022556390977,0.08270676691729323,5.79520697167756,266,4590
2009-10,0.34983498349834985,0.1188118811881188,0.09570957095709572,0.2838283828382838,0.15181518151815182,6.269397889509622,303,4833
2009-11,0.4583333333333333,0.020833333333333332,0.20833333333333334,0.20833333333333334,0.10416666666666667,6.584362139917696,48,729
2009-12,0.37446808510638296,0.07234042553191489,0.14042553191489363,0.3148936170212766,0.09787234042553192,7.054938456919844,235,3331
2010-01,0.3969298245614035,0.07456140350877193,0.14473684210526316,0.2543859649122807,0.12938596491228072,6.7695961995249405,456,6736
2010-02,0.43258426966292135,0.12359550561797752,0.11235955056179775,0.24719101123595505,0.08426966292134831,7.203561311210037,356,4942
2010-03,0.5769230769230769,0.02403846153846154,0.1346153846153846,0.18269230769230768,0.08173076923076923,7.282913165266107,208,2856
2010-04,0.38095238095238093,0.0873015873015873,0.18518518518518517,0.21957671957671956,0.12698412698412698,6.019108280254777,378,6280
2010-05,0.4,0.0,0.13333333333333333,0.26666666666666666,0.2,6.282722513089005,60,955
2010-06,0.4470588235294118,0.03529411764705882,0.047058823529411764,0.3058823529411765,0.16470588235294117,7.791017415215398,85,1091
2010-07,0.45714285714285713,0.17142857142857143,0.05714285714285714,0.2,0.11428571428571428,6.782945736434108,35,516
2010-09,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.28888888888888886,0.17777777777777778,5.33175355450237,45,844
2010-10,0.32456140350877194,0.12280701754385964,0.11403508771929824,0.3508771929824561,0.08771929824561403,7.889273356401384,114,1445
2010-11,0.32432432432432434,0.10810810810810811,0.08108108108108109,0.3783783783783784,0.10810810810810811,4.7803617571059425,37,774
2010-12,0.33163265306122447,0.11224489795918367,0.08163265306122448,0.2653061224489796,0.20918367346938777,6.062480668110115,196,3233
2011-01,0.41363636363636364,0.05909090909090909,0.20454545454545456,0.25,0.07272727272727272,7.599309153713299,220,2895
2011-02,0.32657657657657657,0.09966216216216216,0.11036036036036036,0.35867117117117114,0.10472972972972973,11.539961013645224,1776,15390
2011-03,0.3698630136986301,0.0273972602739726,0.136986301369863,0.410958904109589,0.0547945205479452,5.0,73,1460
2011-04,0.47619047619047616,0.0,0.09523809523809523,0.23809523809523808,0.19047619047619047,7.046979865771812,21,298
2011-05,0.42857142857142855,0.16071428571428573,0.07142857142857142,0.23214285714285715,0.10714285714285714,7.2727272727272725,56,770
2011-06,0.5,0.15625,0.07291666666666667,0.19791666666666666,0.07291666666666667,7.328244274809161,96,1310
2011-07,0.27906976744186046,0.13953488372093023,0.20930232558139536,0.13953488372093023,0.23255813953488372,3.8984587488667275,43,1103
2011-08,0.24691358024691357,0.024691358024691357,0.12345679012345678,0.49382716049382713,0.1111111111111111,4.815695600475625,81,1682
2011-09,0.3157894736842105,0.03759398496240601,0.12781954887218044,0.3533834586466165,0.16541353383458646,5.386796273795059,133,2469
2011-10,0.36363636363636365,0.05928853754940711,0.18181818181818182,0.2964426877470356,0.09881422924901186,6.821245618765166,253,3709
2011-11,0.3670886075949367,0.0759493670886076,0.22784810126582278,0.21518987341772153,0.11392405063291139,6.997342781222321,79,1129
2011-12,0.2692307692307692,0.057692307692307696,0.3269230769230769,0.25,0.09615384615384616,4.990403071017274,52,1042
2012-01,0.32432432432432434,0.05405405405405406,0.2702702702702703,0.2702702702702703,0.08108108108108109,4.894179894179894,37,756
2012-03,0.36,0.12666666666666668,0.07333333333333333,0.34,0.1,6.454388984509467,150,2324
2012-04,0.31645569620253167,0.25316455696202533,0.08860759493670886,0.25949367088607594,0.08227848101265822,6.438467807660962,158,2454
2012-05,0.4354243542435424,0.08487084870848709,0.18450184501845018,0.15129151291512916,0.14391143911439114,6.668307086614174,271,4064
2012-06,0.5217391304347826,0.13043478260869565,0.043478260869565216,0.17391304347826086,0.13043478260869565,5.066079295154185,23,454
2012-07,0.4175824175824176,0.038461538461538464,0.11538461538461539,0.3076923076923077,0.12087912087912088,4.9483414899401845,182,3678
2012-08,0.45517241379310347,0.08275862068965517,0.10344827586206896,0.27586206896551724,0.08275862068965517,6.633119853613907,145,2186
2012-09,0.2898550724637681,0.15942028985507245,0.21739130434782608,0.15942028985507245,0.17391304347826086,5.83756345177665,69,1182
2012-10,0.6363636363636364,0.015151515151515152,0.06060606060606061,0.24242424242424243,0.045454545454545456,7.525655644241732,66,877
2012-11,0.5245098039215687,0.03431372549019608,0.06372549019607843,0.25,0.12745098039215685,5.85030111843992,204,3487
2012-12,0.5,0.04310344827586207,0.09482758620689655,0.21551724137931033,0.14655172413793102,5.96401028277635,116,1945
2013-01,0.4117647058823529,0.08996539792387544,0.0657439446366782,0.34256055363321797,0.08996539792387544,6.720930232558139,289,4300
2013-02,0.35294117647058826,0.0,0.058823529411764705,0.4117647058823529,0.17647058823529413,7.623318385650224,17,223
2013-03,0.3333333333333333,0.046875,0.16145833333333334,0.3020833333333333,0.15625,6.6229734391169375,192,2899
2013-04,0.39603960396039606,0.039603960396039604,0.09900990099009901,0.33663366336633666,0.12871287128712872,6.169822846670739,101,1637
2013-05,0.4271356783919598,0.04020100502512563,0.08542713567839195,0.37185929648241206,0.07537688442211055,5.249274597731469,199,3791
2013-06,0.37681159420289856,0.0,0.42028985507246375,0.08695652173913043,0.11594202898550725,6.55893536121673,69,1052
2013-07,0.36923076923076925,0.06153846153846154,0.05384615384615385,0.3769230769230769,0.13846153846153847,6.656426011264721,130,1953
2013-08,0.29473684210526313,0.021052631578947368,0.24210526315789474,0.37894736842105264,0.06315789473684211,5.919003115264798,95,1605
2013-09,0.6666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,4.88599348534202,15,307
2013-10,0.367003367003367,0.1717171717171717,0.10437710437710437,0.2760942760942761,0.08080808080808081,6.133828996282528,297,4842
2013-12,0.3044982698961938,0.08304498269896193,0.21107266435986158,0.2975778546712803,0.10380622837370242,5.605120248254461,289,5156
2014-01,0.40625,0.0625,0.015625,0.2578125,0.2578125,6.94519804666305,128,1843
2014-02,0.4,0.0,0.1,0.43333333333333335,0.06666666666666667,6.772009029345373,30,443
2014-03,0.37662337662337664,0.05194805194805195,0.14285714285714285,0.2857142857142857,0.14285714285714285,5.213270142180095,77,1477
2014-04,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.23529411764705882,0.17647058823529413,5.68561872909699,17,299
2014-05,0.16129032258064516,0.25806451612903225,0.1935483870967742,0.27419354838709675,0.11290322580645161,6.717226435536294,62,923
2014-06,0.20430107526881722,0.043010752688172046,0.3978494623655914,0.22580645161290322,0.12903225806451613,7.451923076923077,93,1248
2014-08,0.1746031746031746,0.2222222222222222,0.1746031746031746,0.3333333333333333,0.09523809523809523,4.708520179372197,63,1338
2014-09,0.48695652173913045,0.13043478260869565,0.10434782608695652,0.21739130434782608,0.06086956521739131,7.296954314720812,115,1576
2014-11,0.13821138211382114,0.0975609756097561,0.37398373983739835,0.22764227642276422,0.16260162601626016,5.578231292517007,123,2205
2014-12,0.3273381294964029,0.12589928057553956,0.1510791366906475,0.22302158273381295,0.17266187050359713,7.552295571855475,278,3681
2015-01,0.3618421052631579,0.1118421052631579,0.05263157894736842,0.39473684210526316,0.07894736842105263,6.518010291595197,152,2332
2015-02,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,7.142857142857142,3,42
2015-04,0.3655913978494624,0.0967741935483871,0.10752688172043011,0.21505376344086022,0.21505376344086022,8.985507246376812,93,1035
2015-06,0.5714285714285714,0.0,0.09523809523809523,0.19047619047619047,0.14285714285714285,6.122448979591836,21,343
2015-07,0.28888888888888886,0.13333333333333333,0.1111111111111111,0.4,0.06666666666666667,6.493506493506493,45,693
2015-09,0.23076923076923078,0.02564102564102564,0.358974358974359,0.23076923076923078,0.15384615384615385,4.545454545454546,39,858
2015-11,0.24210526315789474,0.49473684210526314,0.0,0.14736842105263157,0.11578947368421053,8.016877637130802,95,1185
2015-12,0.375,0.125,0.125,0.125,0.25,2.622950819672131,8,305
2016-04,0.1111111111111111,0.1282051282051282,0.4358974358974359,0.11965811965811966,0.20512820512820512,9.227129337539433,117,1268
2016-05,0.3614457831325301,0.03614457831325301,0.14457831325301204,0.27710843373493976,0.18072289156626506,7.757009345794392,83,1070
2016-06,0.4171779141104294,0.09202453987730061,0.1165644171779141,0.3312883435582822,0.04294478527607362,9.73715651135006,163,1674
2016-07,0.28421052631578947,0.2,0.1368421052631579,0.25263157894736843,0.12631578947368421,5.904288377874456,95,1609
2016-08,0.42424242424242425,0.045454545454545456,0.12878787878787878,0.30303030303030304,0.09848484848484848,8.70712401055409,132,1516
2016-09,0.15384615384615385,0.23076923076923078,0.20512820512820512,0.1452991452991453,0.26495726495726496,8.850226928895614,117,1322
2016-11,0.45454545454545453,0.0,0.022727272727272728,0.29545454545454547,0.22727272727272727,5.1103368176538915,44,861
2017-01,0.6363636363636364,0.0,0.18181818181818182,0.18181818181818182,0.0,8.799999999999999,11,125
2017-04,0.3,0.15333333333333332,0.17333333333333334,0.28,0.09333333333333334,6.070416835289357,150,2471
2017-12,0.3829787234042553,0.0425531914893617,0.0425531914893617,0.2553191489361702,0.2765957446808511,6.704707560627675,47,701
2018-01,0.16574585635359115,0.13259668508287292,0.13259668508287292,0.35911602209944754,0.20994475138121546,8.78640776699029,181,2060
2020-07,0.18571428571428572,0.11428571428571428,0.07142857142857142,0.5571428571428572,0.07142857142857142,13.409961685823754,70,522
2020-08,0.1891891891891892,0.06486486486486487,0.05675675675675676,0.6351351351351351,0.05405405405405406,9.68586387434555,370,3820
2021-11,0.39926062846580407,0.07208872458410351,0.053604436229205174,0.38817005545286504,0.08687615526802218,11.567243959803292,541,4677
2022-01,0.2714285714285714,0.17142857142857143,0.21428571428571427,0.34285714285714286,0.0,2.699575780948708,70,2593
2022-02,0.33884297520661155,0.04132231404958678,0.17768595041322313,0.32644628099173556,0.11570247933884298,8.0,242,3025
2022-04,0.296,0.208,0.128,0.264,0.104,5.1020408163265305,125,2450
2022-08,0.48148148148148145,0.1574074074074074,0.009259259259259259,0.2962962962962963,0.05555555555555555,8.83074407195421,108,1223
2022-10,0.35585585585585583,0.08108108108108109,0.06306306306306306,0.36936936936936937,0.13063063063063063,8.339594290007513,222,2662
2022-12,0.10204081632653061,0.061224489795918366,0.0,0.6530612244897959,0.1836734693877551,4.743465634075508,49,1033
2023-01,0.12121212121212122,0.2878787878787879,0.07575757575757576,0.2727272727272727,0.24242424242424243,6.0606060606060606,66,1089
2023-02,0.38738738738738737,0.08108108108108109,0.02702702702702703,0.23423423423423423,0.2702702702702703,5.89171974522293,111,1884
2023-03,0.32941176470588235,0.1411764705882353,0.047058823529411764,0.23529411764705882,0.24705882352941178,7.101086048454469,85,1197
2023-04,0.352112676056338,0.2112676056338028,0.056338028169014086,0.2112676056338028,0.16901408450704225,6.4253393665158365,71,1105
2023-05,0.375,0.10227272727272728,0.10227272727272728,0.18181818181818182,0.23863636363636365,6.769230769230769,88,1300
2023-10,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.38461538461538464,0.11538461538461539,5.543710021321962,26,469
2023-11,0.35294117647058826,0.19117647058823528,0.11764705882352941,0.25735294117647056,0.08088235294117647,11.380753138075313,136,1195
2024-01,0.34782608695652173,0.15217391304347827,0.06521739130434782,0.3695652173913043,0.06521739130434782,6.628242074927954,46,694
2024-03,0.6842105263157895,0.0,0.15789473684210525,0.10526315789473684,0.05263157894736842,6.690140845070422,19,284
2024-04,0.3545816733067729,0.14342629482071714,0.08764940239043825,0.2350597609561753,0.17928286852589642,4.66542750929368,251,5380
2024-07,0.2246376811594203,0.09420289855072464,0.17391304347826086,0.2753623188405797,0.2318840579710145,7.9447322970639025,138,1737
2024-08,0.47413793103448276,0.07758620689655173,0.1336206896551724,0.23275862068965517,0.08189655172413793,8.0027595722663,232,2899
2024-10,0.37777777777777777,0.08888888888888889,0.0,0.3111111111111111,0.2222222222222222,5.250875145857643,45,857
2024-12,0.1921921921921922,0.08408408408408409,0.14414414414414414,0.3813813813813814,0.1981981981981982,8.206012814194183,333,4058
2025-02,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.38461538461538464,0.15384615384615385,7.386363636363637,13,176
2025-03,0.24778761061946902,0.25663716814159293,0.07079646017699115,0.3008849557522124,0.12389380530973451,4.716193656093489,113,2396
2025-04,0.47058823529411764,0.17647058823529413,0.0,0.14705882352941177,0.20588235294117646,6.525911708253358,68,1042
2025-05,0.2403846153846154,0.08653846153846154,0.09615384615384616,0.27884615384615385,0.2980769230769231,7.162534435261708,104,1452
2025-06,0.4166666666666667,0.21875,0.03125,0.20833333333333334,0.125,7.613005551149881,96,1261
2025-11,0.4166666666666667,0.11666666666666667,0.05,0.31666666666666665,0.1,8.21917808219178,60,730
2025-12,0.30749354005167956,0.26098191214470284,0.056847545219638244,0.18863049095607234,0.18604651162790697,9.42064264849075,387,4108
