period,mtld,ttr,unique_words,total_words
2011-08,132.12268733051866,0.41765071472964577,672,1609
2011-09,160.26646853863497,0.4195596951735817,991,2362
2011-10,145.57285204456008,0.3629169022046354,1284,3538
2011-11,154.40133348274315,0.525,567,1080
2011-12,125.46460540700494,0.48562933597621405,490,1009
2012-01,142.46493693693694,0.5662983425414365,410,724
2012-03,166.89620038106494,0.414535666218035,924,2229
2012-04,169.91946538782673,0.42893725992317544,1005,2343
2012-05,162.0755853510606,0.3824136152656008,1483,3878
2012-06,222.9917635681221,0.6334106728538283,273,431
2012-07,184.0937594635957,0.39879759519038077,1393,3493
2012-08,176.4692964665457,0.4569918308505526,951,2081
2012-09,173.5900543496494,0.5157894736842106,588,1140
2012-10,134.01320839531854,0.49325153374233127,402,815
2012-11,159.2052684281287,0.402002427184466,1325,3296
2012-12,195.46131034268714,0.4750411409764125,866,1823
2013-01,176.9053246985967,0.38018545632015616,1558,4098
2013-02,167.7137058937573,0.7345971563981043,155,211
2013-03,167.24223674920572,0.41140159767610746,1133,2754
2013-04,149.87703696730404,0.4673495518565941,730,1562
2013-05,188.90728761470848,0.3977961432506887,1444,3630
2013-06,92.25601684717208,0.46030150753768845,458,995
2013-07,159.38525493567727,0.47761194029850745,896,1876
2013-08,164.82292582820287,0.4211212516297262,646,1534
2013-09,266.33898305084745,0.7044673539518901,205,291
2013-10,136.1644107849761,0.3031229526097401,1388,4579
2013-11,38.440000000000005,0.7741935483870968,24,31
2013-12,132.55932056651594,0.34055915721231766,1681,4936
2014-01,165.23408466638818,0.4855687606112054,858,1767
2014-02,211.2695630784666,0.6339712918660287,265,418
2014-03,162.18855166950303,0.472636815920398,665,1407
2014-04,158.38572118562206,0.6724137931034483,195,290
2014-05,157.79214803112552,0.5145739910313901,459,892
2014-06,144.8307188952546,0.44416666666666665,533,1200
2014-08,157.2198272564912,0.4665109034267913,599,1284
2014-09,190.7939834375528,0.47580645161290325,708,1488
2014-11,104.17748808072571,0.35090218423551756,739,2106
2014-12,137.7041852770885,0.36661951909476664,1296,3535
2015-01,139.91885718606756,0.44285714285714284,992,2240
2015-02,74.66666666666667,0.85,34,40
2015-04,197.1789958465066,0.5622448979591836,551,980
2015-06,191.2518224881868,0.690625,221,320
2015-07,253.3969025052898,0.6197604790419161,414,668
2015-09,157.98069705093835,0.5552855407047388,457,823
2015-11,168.18184912272685,0.4868881118881119,557,1144
2015-12,159.1936778000379,0.6711864406779661,198,295
2016-04,112.71114610474635,0.43950617283950616,534,1215
2016-05,186.56844082880423,0.5122669283611384,522,1019
2016-06,160.70825111882414,0.4668351231838282,739,1583
2016-07,170.61518391040227,0.46347769877181644,717,1547
2016-08,183.89997368418904,0.49721059972105996,713,1434
2016-09,157.25,0.4848966613672496,610,1258
2016-11,204.5,0.5660146699266504,463,818
2017-01,125.58933333333336,0.7413793103448276,86,116
2017-04,166.29584027011356,0.4487722269263336,1060,2362
2017-12,168.4921250399744,0.5839524517087668,393,673
2018-01,130.76904411033905,0.4218436873747495,842,1996
2020-07,120.34551914792578,0.572,286,500
2020-08,123.33772236294126,0.37970031099802093,1343,3537
2021-11,144.13577366924426,0.3524421004356799,1537,4361
2022-01,27.12538316984559,0.3745526838966203,942,2515
2022-02,147.02594829429188,0.3828750435085277,1100,2873
2022-04,156.9585312017154,0.43779392902949976,1024,2339
2022-08,180.75851285853474,0.5123022847100176,583,1138
2022-10,143.39601845311125,0.43122529644268776,1091,2530
2022-12,161.21362017232235,0.5295295295295295,529,999
2023-01,172.75643707689997,0.5205348615090736,545,1047
2023-02,155.00062320193604,0.45403899721448465,815,1795
2023-03,173.76714763810736,0.46545768566493956,539,1158
2023-04,139.40191666764076,0.467984934086629,497,1062
2023-05,180.69460461792465,0.4899436846339501,609,1243
2023-10,235.58596973253665,0.6548672566371682,296,452
2023-11,226.0,0.5292035398230088,598,1130
2024-01,133.25512040659555,0.5801526717557252,380,655
2024-03,162.22849127182047,0.6813186813186813,186,273
2024-04,113.16415824840905,0.3018104776579353,1567,5192
2024-07,97.09809376380073,0.42581423401688784,706,1658
2024-08,188.18872997711668,0.420956553486674,1153,2739
2024-10,144.06165653981452,0.5157766990291263,425,824
2024-12,152.07158729207023,0.3763440860215054,1470,3906
2025-02,151.02975877192983,0.7225433526011561,125,173
2025-03,200.57424586980892,0.4518229166666667,1041,2304
2025-04,165.58947604640792,0.5107033639143731,501,981
2025-05,138.1878205568924,0.4426820475847152,614,1387
2025-06,178.4929385236174,0.49212924606462305,594,1207
2025-11,121.71600470322353,0.5136690647482014,357,695
2025-12,162.57886951105576,0.3670212765957447,1449,3948
